,0
2594,"С днем рождения, дружище! Желаю тебе яркой жизни, как феерическая вспышка, но при этом, чтобы ты все успел и полностью себя реализовал, как мужчина, отец, супруг и неординарная, уникальная личность!"
2595,"С днем рождения, друг! Благодарю каждый день Вселенную за то, что рядом со мной твоё сильное плечо, за твои поддержку, совет, шутки. Желаю, чтобы твоя жизнь была наполнена яркими красками, успех сопровождал твои дела, любовь и благополучие царили в твоём доме."
2596,"С днем рождения, подруга! Хочу пожелать тебе гору подарков, море цветов, океан комплиментов. Пусть твой шкаф ломится от новых нарядов, пусть мужчины сворачивают головы, когда ты проходишь мимо. Лови каждый момент этой жизни и сполна наслаждайся ею."
2597,"С днем рожденья, друг. Желаю тебе кругосветных путешествий, крутых стремлений и побед. Желаю смелых амбиций, большой удачи и успешного проявления себя. Желаю высокого финансового состояния и бодрого состояния души. Желаю вечной влюблённости и неутомимой храбрости сердца! Будь счастлив, друг."
2598,"Этим радостным днем мне искренне хочется поздравить самого прекрасного человека в моей жизни! Ты самая красивая, умная и милая из всех, кого я знаю. Надеюсь, в этом году ты достигнешь всего, чего только пожелаешь, обзаведешься новыми друзьями и укрепишь связи с близкими людьми. Оставайся такой же прекрасной и очаровательной!"
2599,"Будь счастливой, любимой и желанной, самой обаятельной и обольстительной леди. Желаю больше восхищенных взглядов, внимания поклонников и искренних комплиментов. Пусть свет любви озарит твою жизнь и подарит самые яркие эмоции!"
2600,"Замечательного начальника поздравляю с днем рождения! Желаю сдержанности, прагматичности, прогнозируемости, креативности и тактичности!"
2601,"С днем рождения хочу поздравить прекрасного человека и пожелать загадочности, игривости, темпераментности и лучезарности!"
2602,"Бабулечку роднулечку поздравляю с днем рождения! Пожелаю любить свой возраст, жить беззаботно, забывать лишь негатив и наслаждаться позитивом!"
2603,"Любимая моя бабушка, с днем рождения! Желаю здоровьица тебе крепкого, энергичности, бодрости, жизнерадостности! Пусть твой опыт и мудрость помогают не унывать, черпать вдохновение из простых вещей и радовать близких своими коронными блюдами!"
2604,"С днем рождения, подруга! Сегодня я хочу поблагодарить тебя за то, что ты стала мне близким другом, за тысячи советов и слов ободрения, которые помогали мне на протяжении всей моей жизни. Продолжай излучать свет и радость, делая незабываемым твое присутствие в наших жизнях. Поздравляю!"
2605,"Дорогой дядя, с днем рождения! Желаю тебе оптимизма, выдержки и везения. Пускай твой бизнес успешно развивается, пусть в доме царит гармония и достаток, пусть жизнь будет стабильной и благополучной. Желаю легко достигать невероятных высот, быстро менять планы и цели, быть гибким и мобильным!"
2606,"Приглашаю на день рождения ________. С нетерпением буду ждать _____________________. С собой прихвати улыбки, хорошее настроение, побольше позитивчика и весёлых песен. Вливайся в нашу компанию!"
2607,"День рождения руководителя — это праздник для всех подчинённых! Разрешите поздравить вас от всей души и выразить своё уважение. Желаем приятного отдыха, чтобы всё вас сегодня радовало, и никакие проблемы не вставали на вашем пути в ближайшее время."
2608,"Дружище, поздравляю! Сколько всего мы с тобой прошли, как много знаем друг о друге. Я хочу, чтобы ты всегда знал, что можешь положиться на меня в любой ситуации, довериться мне, как я доверяю тебе. Будь счастлив и всегда верь в себя."
2609,"Везения в жизни, правильного направления, нормальной, психологической устойчивости. Поддерживай здоровый образ жизни, иди на компромисс. Пусть невозможное станет возможным. Просто будь!"
2610,"Искрометную свою тетушку хочу поздравить с днем рождения! Желаю жить так, как желает душа, осязать неосязаемое и постигать непостигаемое!"
2611,"Поздравляя с днем рождения хочу пожелать ласкового попутного ветра, яркой путеводной звезды и радужных перспектив и надежд!"
2612,"Разносторонняя и чистосердечная моя подруга поздравляю тебя с днем рождения! Желаю жить на берегу моря, по утрам слушать шум прибоя, чтобы морские чайки приносили тебе только позитивные новости, а любимый человек радовал ароматным завтраком и вкусным кофе!"
2613,"Милая моя подруга, поздравляю тебя с днем рождения! В этот день желаю быть загадочной, невероятно счастливой, ослепительно красивой! Хочу пожелать тебе женского счастья, благополучия, исполнения всех твоих желаний!"
2614,"Поздравляю тебя с днем рождения, ненаглядный мой! Я точно знаю — счастье есть, и пусть оно не оставляет нас с тобой. Желаю, чтобы радовало тебя всё: и работа, которой ты себя посвящаешь, и семья наша, и твои друзья."
2615,"Лучшему начальнику желаем большой-пребольшой прибыли, интересных будней и отличных выходных. Сегодня ваш день, поэтому отдыхайте на здоровье. Прекрасного веселья!"
2616,"Любимая наша красавица, твоей красоте сегодня может позавидовать даже Афродита. С днем рождения! Пусть на твоем пути встречаются только самые искренние и добрые люди. Большой любви и ровных волос с утра. Сегодня твой день и я тебя поздравляю!"
2617,"Дорогой мой человек, мой товарищ и друг, с праздником! В твой день рождения хочу вспомнить, что с возрастом к некоторым людям приходит мудрость. Я же хочу пожелать тебе, чтоб возраст пришел к тебе один, и мы с тобой натворили немало веселых глупостей! Желаю веселья, удачи, здоровья и любви!"
2618,"Дорогой дядя, с праздником! Желаю тебе не терять связь с близкими и дальними родственниками, быть в эпицентре их любви и внимания, дарить свое тепло и мудрость. Пусть твоя путеводная звезда приведет к счастью и достатку!"
2619,"Дорогая моя подруга! Я желаю тебе добра и удачи, любви и взаимопонимания, процветания и благополучия, и, конечно, здоровья и долголетия. Береги себя!"
2620,"Друг, поздравляю тебя с днем рождения! Пусть её величество Удача никогда тебя не покидает, пусть судьба дарит только приятные моменты, пусть не будет дефицита в женском внимании и да, оставайся таким же позитивным и классным другом. С твоим днём!"
2621,"С днем рождения, дорогая сестрёнка! В этот чудесный праздник, я хочу пожелать тебе счастья, успехов во всех твоих начинаниях, а главное — здоровья. Оставайся такой же красивой и доброй!"
2622,"С днем рождения! Желаю встретить в жизни страстную любовь, смелых и удачных начинаний, чтобы во всём тебе везло, как никому и никогда! Верь в себя и ты не успеешь и глазом моргнуть, как достигнешь совершенства."
2623,"С днем рождения, подружка! Пусть та дорога, которую ты себе выбрала, будет озарена яркими красками и наполнена радостными, запоминающимися событиями. Пусть безграничное чувство счастья никогда тебя не покидает, а любовь навсегда станет твоей спутницей!"
2624,"Поздравляю с днем рождения! Желаю тебе любви — чистой, улыбки — игривой, уюта — домашнего, счастья — настоящего, порывов — безумных, сюрпризов — приятных, здоровья — крепкого, настроения — бодрого, в общем жизни насыщенной, обеспеченной, комфортной, гармоничной и в конечном итоге — просто отличной."
2625,"Поздравляю с днем рождения! Такой прекрасной девушке как ты хочется пожелать только самых дорогих подарков, самых богатых ухажеров и самых теплых слов поздравления. Пускай все дни будут такими же особенными, как этот, чтобы всё внимание было приковано к тебе, словно ты — модель на показе мод! И помни, как завещала Тайра Бэнкс: улыбаемся глазами!"
2626,"С днем рождения! Я желаю Вам всегда быть сильным, надежным и смелым мужчиной! Радуйтесь тем приятным мелочам, которые у Вас уж есть, но не забывайте ставить перед собой и большие цели. Вы обязательно сможете их достичь! Не забуду и про любовь — пусть она найдет Вас и станет опорой и теплым домашним очагом, который даже в самый сильный шторм дождется и обогреет."
2627,"С рождением, подружка! Ты красотка, умница, добрый, славный человечек, который обязательно должен быть счастлив! Желаю радостных эмоций, красивых нарядов, вечеринок, встреч, веселья и отличного настроения!"
2628,"В твой самый счастливый день поздравляю тебя! Желаю теплых улыбок, жарких объятий и для посещения — только теплых стран. Никогда не унывать, хвост держать «трубой», впечатляться и влюбляться! Будь такой же доброй, терпеливой и пусть удача станет твоей визитной карточкой."
2629,"Папа, получай наслаждение от каждого дня. Ты заслуживаешь чистой преданности от всех тех, кто тебя окружает. Сердечно посылаю лучи благополучия, богатства, успеха, удовольствия."
2630,"Обаятельного и привлекательного парня поздравляю тебя с днем рождения! Пожелать хочется не совершать ошибок, быть честным с собой и другими, заниматься любимым делом и найти своего человека по духу и понятиям!"
2631,"Мой самый лучший друг! С днюхой тебя! Мне в жизни очень повезло — у меня есть такой человек, как ты. И поэтому я тебе говорю — чтоб ты так жил, как я поздравляю тебя! В достатке, в любви, в гармонии с собой, в мирской радости. Спасибо за твою дружбу!"
2632,"С днем рождения, прекрасная леди! Пусть каждый, кто тебя увидит, будет удивлен твоей красотой, твоей индивидуальностью и твоей жизнерадостностью. Ты неповторимая и исключительная девушка. Сегодня, в твой день рождения, хочу пожелать тебе большого счастья и дать самые теплые объятия. С днем рождения!"
2633,"Сестренка, поздравляю тебя с днем рождения. Желаю, во-первых, чтобы наша духовная связь с годами только крепчала. Во-вторых, наилучших впечатлений от этой жизни. В-третьих, монолитного терпения, которое поможет в любых трудностях. В конце концов, пусть твои желания сбываются с первого раза."
2634,"Тётя, в твой день рождения я искренне хочу тебе пожелать никогда не встречаться с заботами и горестями. Пусть слова «болезнь», «врач» и «лекарство» будут для тебя пустым звуком. Пусть все мне завидуют, потому что у меня самая красивая, самая богатая и самая счастливая тетушка на свете. Поздравляю с днем рождения!"
2635,"Поздравляю с днем рождения! К сожалению, я не имею магической палочки Гарри Поттера и не знаю слов заклинания, с помощью которых можно делать небывалые волшебства. Но зато я желаю тебе самому стать великим магом в своей жизни и творить в ней чудеса с помощью успеха, удачи и везения."
2636,"В день рождения желаю тебе, Брат, быть веселой душой компании и собрать самых верных и преданных друзей рядом, которые всегда смогут украсить твой праздник. Проведи этот день в веселье, смехе и радостных шутках, пусть не покидает тебя позитив. Счастливого Дня Рождения, Братишка!"
2637,"С днем рождения, наш самец, завоеватель, Аполлон, Геракл! Это все про тебя. твои года — твоё богатство! И пусть оно будет не только в годах, а в машинах, квартирах и виллах. И конечно самое главное богатство — любовь! Большой тебе любви!"
2638,"Побольше лучезарных эмоций, колоритных идей, настоящего женского счастья, смелых решений и легкости по жизни. Пусть в одно мгновение сбудутся все твои мечты, ведь ты достойна только самого лучшего. твой ангел Хранитель всегда рядом, береги себя!"
2639,"Желаю счастливого, яркого и искрометного Дня рождения тебе, родная и любимая Тетушка! Пусть всегда будут свет и теплота в твоем уютном доме, понимание и хорошее отношение в семье. Желаю реального женского счастья, чтобы ты всегда чувствовала защиту, заботу и любовь."
2640,"Милая и непревзойденная моя сестренка поздравляю тебя с днем рождения! Желаю тебе яркости, индивидуальности, восхитительности и красочности. Пусть жизнь радует только приятными сюрпризами и оберегает от огорчений!"
2641,"Милая, прекрасная, энергичная, целеустремлённая, жизнерадостная, нежная и почти что совершенная моя подруга, с днем рождения. Будь счастлива!"
2642,"О мой дорогой друг, с днем рождения тебя. Желаю всех благ, да побольше деньжат и любви несоразмерной желаю. Надеюсь все будет ништяк, а пока с днем рожденья дружище, живи долго и будь всегда рядом. Я никогда не забуду тебя."
2643,"Дорогой мой братишка поздравляю тебя с днем рождения! Пожелать хочется тебе на жизненном пути встречать лишь только искренних людей, счастливых детей, успешных женщин."
2644,"Восхитительная моя тетушка поздравляю тебя с днем рождения и в этот день хочу пожелать побольше красочных эмоций, ярких впечатлений, феерических воспоминаний, обескураживающих моментов и сногсшибательных поступков!"
2645,"Любимый папа, будь здоровым и энергичным. Пусть сбудутся все твои желания. С любовью в сердце поздравляю с днем рождения. Пусть удача сопровождает тебя на жизненном пути, а родные люди окружают своим вниманием. Будь счастлив!"
2646,"Любимая моя мамочка поздравляю тебя с днем рождения и в этот чудесный день хочу пожелать тебе, чтобы жизнь импровизировала только в лучшую сторону, чтобы она была наполнена яркими красками и блестящими событиями."
2647,"Дорогая сестрёнка, поздравляю тебя с днём варенья, конфет и обнимашек! Желаю счастья в личной жизни — а для этого главное не принимать близко к сердцу разные случайные непонятки и вовремя включать юмор! Будь всегда очаровательной и в меру самоуверенной!"
2648,"Сегодня день рождения замечательной девушки. Пусть она всегда остаётся жизнерадостной, неунывающей, весёлой, доброй, лёгкой и светлой. Пусть улыбка не сходит с её лица, и никакие, даже самые мелкие, препятствия не омрачают её прекрасный взгляд."
2649,"Милая моя сестрёнка! Я искренне желаю тебе лёгкого жизненного пути и безоблачного неба над головой. Пусть задуманное всегда удаётся и сбудется хоть одно, но самое заветное желание!"
2650,"Папочка, от всего сердца поздравляю с праздником! Желаю тебе оставаться таким же авторитетом! Строгим и сильным, но в то же время добрым, справедливым и заботливым! С днем рождения, родной!"
2651,"Любимый муж, поздравляю тебя с днем рождения! Желаю тебе легкого подъема по карьерной лестнице, уважения коллег, финансового достатка, достижения целей и огромной любви ко мне. А всё остальное я беру на себя."
2652,"Дорогой Дедуля, с днем рождения тебя родной! Желаем тебе могучего здоровья, чтобы всегда с охоты приносил знатную добычу, а с рыбалки большой улов! Мы любим тебя!"
2653,"Любимый муж, моя опора и защита! Желаю тебе дикой, всепоглощающей любви, острых ощущений, ярких впечатлений! С тобой моя жизнь становится раем! С днем рождения, мой милый муж!"
2654,"Поздравляю тебя, с твоим праздником, днем рождения! Пусть он и дальше тебя бережет по твоему светлому пути. Желаю успехов в карьере и дома очаг чтоб горел согревая. Маму твою поздравляю и спасибо говорю! Ведь она мне тебя подарила."
2655,"С днем рождения братишка. В этот день хочется быть рядом с тобой, радоваться твоим успехам и гордится тобой, видеть твою улыбку и сияние глаз. Желаю тебе самого большого счастья на Земле!"
2656,"Поздравить тебя с днем рождения, я сочту за честь! Я всегда желал тебе всего наилучшего: здоровья, счастья, любви, богатства, и сегодня повторюсь. Хочу добавить лишь одно, чтобы в жизни встречались, такие же верные, добрые и славные друзья, каким приходишься нам ты!"
2657,"В день Вашего рождения, хочу поздравить и пожелать, чтобы цели реализовывались легко, деньги липли к рукам, женщины липли к Вам, а любая неожиданность, или проблема была всего лишь мелкой, быстро проходящей неурядицей!"
2658,Мой брат с самого детства ты был моей защитой. Самой крепкой и самой надежной. В этот день я желаю тебе душевного тепла и надежную и любящую спутницу в жизни.
2659,"Нас связывает дружба вот уже много лет. Желаю оставаться таким же терпеливым, позитивным, понимающим и быть как всегда душой и центром нашей компании."
2660,"Поздравляю с днем рожденья и желаю любви! Пусть она растет в тебе и с каждым днем приносит все больше радости, добра, оптимизма, уверенности, успеха и везения! И пусть однажды твоя любовь расцветет! И тогда в твоей жизни начнут происходить настоящие чудеса..."
2661,"С днем рождения, лучшая подруга! Желаю тебе быть единственной и неповторимой в любви, счастливой и удачливой в жизни. Пусть радует всех твоя очаровательная улыбка!"
2662,"Дорогая я сестренка хочется поздравить тебя с днем рождения! Веря в тебя и любя, желаем праздника жизни, чтобы путеводная звезда вела тебя по дороге жизни, преодолевая все препятствия и трудности, не смотря на любую непогоду."
2663,"Поздравляю с днем рождения! Самому загадочной мужчине желаю всех благ и удач. Пусть твоя жизнь будет насыщен и полон ярких впечатлений. Пусть тебя всегда сопровождает умная, красивая женщина, и чтобы с ней ты чувствовал себя полноценным."
2664,"Милая тетушка, с днем рождения! Будь всегда такой же ласковой, бескорыстной, нежной и заботливой. Пусть твоя искренняя улыбка радует близких, отзывчивое сердечко дарит доброту и нежность окружающему миру. Здоровья, радости и счастья тебе, любимая тетушка!"
2665,"С днем рождения! В детстве у нас была игрушка неваляшка. Как ее ни укладывай влево, вправо, вперед, назад, она тут же вскакивает. Пожелаю быть тебе таким же прыгучим, и как бы судьба тебя не пыталась уложить, ты бы тут же вскакивал!"
2666,"Ну все — ты взрослый. Такой большой и умный — горы свернешь. Направь же свою силу на создание чего-то путного и нужного людям. Ставь цель и твердо следуй ей. Не обижай слабых и не будь сам слабаком. Короче, будь мужиком. С днем рождения тебя."
2667,"В день твоего рождения, брат, мне очень хочется пожелать тебе добра. Пусть оно окружает тебя везде: дома, на работе, на отдыхе. Ведь добро — это то, на чём держится свет. Желаю тебе, чтоб воплотились в жизнь твои задумки и идеи, а родные и друзья помогли тебе в этом."
2668,"Если у вас нету тети — мне вас жаль. Такой жизнерадостной, такой красивой и умной, как моя. Оставайся такой же молодой, любящей и веселой. Короче, клевой, креативной, чтобы было, с кого брать пример."
2669,"Милая, твой праздник подошел. Прошу тебя, не верь зеркалам, они врут. Ты прекрасна и свежа, как прежде. Если мне не веришь, желаю услышать за праздничным столом слова любви и восхищения: твоей красотой и умом, твоей проницательностью, обаянием. Желаю тебе запастись терпением, ведь даже от восхищения и комплиментов можно устать."
2670,"Желаю счастья огромного полных карманов, удачи в больших мешках и побед славных. С днем рождения!"
2671,"Поздравляю с днем рождения. Желаю фантазии и вдохновения, только светлых полос и везения! Смотри на мир шире и воплощай свои мечты!"
2672,"Прими мои поздравления, братишка! Пусть в твоем доме в этот день не смолкают смех и веселье, как в детстве. Желаю тебе здоровья и всех благ, и встретить свой день рождения в окружении друзей и близких. И не забывать про родных."
2673,"Дорогая тётя, мне так приятно поздравить вас с днем рождения! Мы всегда ощущали ваше присутствие и поддержку. Пусть вам сопутствует здоровье и оптимизм."
2674,"С днем рождения! Желаю роскошной жизни, работы мечты, достойных людей рядом, шикарной одежды, незабываемого отдыха, внешнего лоска и внутренней гармонии!"
2675,"Подружка милая, родная пусть сбудется твоя безумная мечта. Я с днем рождения поздравляю, тебя моя душа. Хочу что б веселилась и смеялась, то бы цвела как майский день. Будь счастлива моя шальная, не забывай кто ты теперь."
2676,"Долго же мы ждали этого дня! С днем рождения, настоящий друг! Веселья, счастья, хорошо в баньке попариться. Пусть в карманах водятся денежки, а в телефоне автоматически сохраняются номера красоток. Жизнь прекрасна, если в ней есть ты!"
2677,"Друг, с днем рождения. Пусть жизнь всегда включает зеленый свет для любви, счастья, достатка, успеха и хорошего настроения. Желаю, чтобы твоему самочувствию завидовали крепыши, которые никогда не болеют, а уму — самые известные мудрецы."
2678,"Братишка, мой хороший! Ты мое счастье и опора. Я поздравляю, хороший мой, с днем рождения! Желаю, чтобы каждый год приносил тебе невероятную удачу. Здоровья побольше на года, жизни веселой без житейских забот и суеты! Ты настоящий друг и это главное! С праздником, дорогой."
2679,"Под вашим чутким руководством нам прекрасно работается, и мы не представляем на этом месте никого другого. Желаем вам всяческих благ — не только здоровья, но и постоянного везения во всех сферах жизни."
2680,"Желаю ослепительной улыбки, восторженного взгляда, влюблённого сердца, свободной души. С днем рождения. И пусть всё желаемое сбывается. С днем рождения!"
2681,"Поздравляю с днем рождения. Желаю красоты тела и здоровья организма, романтики души и отваги сердца!"
2682,"Поздравляю с днем рождения. Пусть тобой руководит вдохновение, пусть мечта направляет тебя в русло успеха."
2683,"С днем рождения. Желаю любви, как в самых увлекательных романах и сплошного везения в жизни."
2684,"С днем рождения. Желаю никогда не вешать нос, желаю наполнять каждую клеточку тела счастьем!"
2685,"Желаю много эндорфина, здоровья, радости, удачи, счастья, романтики, интима, любви, восторга и добра! С днем рождения тебя."
2686,"Поздравляю с днем рожденья. Пусть только крупными цифрами и масштабами измеряется достаток жизни, а заодно и твои возможности для достижения успеха."
2687,"Поздравляю с днем рождения. Желаю, чтобы чёрный кот не перебегал тебе дорогу, чтобы твоя жизнь была полна только счастливых примет!"
2688,"Чувствуй свободу, как птица в небе, ощущай счастье, как ребёнок с любимой конфетой в руках. С днем рожденья. Пусть жизнь будет превосходна!"
2689,"С днем рождения. Желаю вычитать все печали, прибавлять успех к успеху, умножать все радости и делиться хорошими новостями с любящими людьми. Счастья тебе и добра!"
2690,"Желаю, чтобы в жизни сладкими были и вершки, и корешки. С днем рождения. Улыбок, счастья и удачи!"
2691,"Желаю летать на крыльях любви, желаю быть невероятно счастливым человеком. С днем рождения, яркое солнышко!"
2692,"Поздравляю с днем рождения. Желаю добиться первых строк «Форбса», желаю устроить свою жизнь самым лучшим образом!"
2693,С днем рождения! Желаю стрелять чётко в цель и вести счёт со своей судьбой в свою пользу! Удачи и стопроцентного счастья тебе!
2694,"С днем рождения. Желаю пользоваться авторитетом среду друзей, желаю пользоваться успехом у женского пола. Пусть этот день рожденья прибавит оптимизма и уверенности, пусть в этот год жизни всё будет можно и возможно. Желаю тебе везенья и поддержки близких, упорства и отваги сердца!"
2695,"С днем рождения, сестрица. Желаю в жизни полной чаши любви, достатка и добра. Пусть в этот день, сестрица, твоя судьба обернётся в ярую жар-птицу, которая помчит тебя просторами счастья к заветным мечтам, к большим переменам!"
2696,"Дорогой дядя, с днем рождения тебя. Желаю тебе быть славным и успешным президентом в стране любви, уважения, понимания и заботы. Дядя, пусть этот год прибавит сил и здоровья, энергии и достатка, пусть он умножит на ноль все печали и сомнения, обиды и неудачи!"
2697,"С днем рождения, дорогой дядя. Желаю тебе влюбляться в эту жизнь снова и снова, желаю чувствовать себя энергичным и молодым! Дядя, пусть проблемы жизни проваливаются сквозь землю, пусть звезду победы тебе удаётся достать даже с самых немыслимых вершин!"
2698,"С днем рождения. Будь круче Бэтмена и Ван Дама, будь сильнее Халка и Шварценеггера. Желаю сто причин для веселья, миллион возможностей для победы. Пусть юное сердце не сомневается, а только мечтает, поёт и влюбляется. Желаю, чтобы всегда хватало храбрости и сил для достижения цели."
2699,"С днем рождения, бабуля! Желаю тебе, моя сказка, моя доброта, самых крепких сил и крепкого здоровья, самых радостных новостей и тёплых улыбок. Бабушка, пусть этот возраст будет самым подходящим для того, чтобы мечтать, устраивать праздники, дарить близким заботу и получать взамен любовь!"
2700,"Поздравляю с днем рождения. Желаю меньше работы и всякой заботы, желаю больше путешествий и красочных дней!"
2701,"Поздравляю с днем рождения и желаю молодильной яблоньки в саду, золотой рыбки в аквариуме, волшебного горшочка с кашей на столе, ковра-самолёта в прихожей."
2702,"Поздравляю с днем рождения и от души желаю восторга, умиления, радости и счастья. Пусть этот год подарит только успех и во всём везение!"
2703,"С днем рождения. Желаю уважения в любом окружении, гениальности во всех идеях и любви в каждом мгновении."
2704,"С днем рождения. Желаю благосклонности фортуны и большой любви в жизни, а ещё — добра, достатка, радости и кайфа!"
2705,"С днем рождения. Желаю солнца за окошком, радости в душе, денег в кармане, вкусного обеда на столе, удачи на пути и любви в сердце!"
2706,"С днем рождения, королева моего сердца! Пусть сегодня будет один из тех дней, когда ты встретишь радость и любовь на каждом шагу, и каждое из поздравлений будет настолько прекрасным, что все вместе они наполнят тебя счастьем на все оставшиеся годы. Всего наилучшего!"
2707,"С днем рождения. Желаю чтобы в жизни были лишь взлёты, а если падения-то лишь для того, чтоб набраться сил и довести начатое до успешного финала."
2708,"С днем рождения, супруга. Любимая, я желаю тебе всегда оставаться источником радости, вдохновения, нежности и красоты. Будь готова ко всему, а в жизни пусть случается всё самое хорошее. Чувствуй себя счастливой, а я буду тебя всегда беречь!"
2709,"С днем рождения, дедушка! Пусть годы проходят, ничуть не меняя твое великолепное настроение, твое крепкое здоровье и твою невероятную жизнерадостность, а желание наслаждаться жизнью превосходит любые проблемы. Любим тебя, дорогой, и всей нашей семьей с радостью отметим этот день вместе с тобой."
2710,"Желаю охапок цветов, грузовик подарков и море любви и радости. С днем рождения!"
